id,province,population,x_coord,y_coord,latitude,longitude,name,household_id
46013,4,15921,145125.530526316,204858.399473684,51.1530166736842,4.30254416315789,KRUIBEKE,4
46014,4,40043,122514.305769231,199999.765,51.0869985076923,4.02281028653846,LOKEREN,4
46020,4,18745,132199.630405405,213294.663378378,51.2249443108108,4.12049485135135,SINT,4
46021,4,73181,133537.396408451,206051.679295775,51.1560110873239,4.13330128169014,SINT-NIKLAAS,4
46024,4,18388,126905.338333333,211303.859270833,51.206352303125,4.04849913125,STEKENE,4
46025,4,28138,138474.538194444,202130.583055556,51.1226629083333,4.20754554444444,TEMSE,4
51004,5,27611,107653.554195402,147288.527298851,50.6338264839081,3.77263843793103,ATH,5
51008,5,14128,101130.947159091,135976.984090909,50.5352467340909,3.67763823636364,BELOEIL,5
51009,5,11883,101408.232173913,130156.317391304,50.4766752086957,3.6746510826087,BERNISSART,5
51012,5,3495,114108.825263158,143566.956052632,50.6012826157895,3.85940227368421,BRUGELETTE,5
51014,5,6285,108340.782037037,140233.990740741,50.5698843888889,3.81115236666667,CHIEVRES,5
51017,5,5706,102520.764117647,157294.217647059,50.7233090705882,3.70360215294118,ELLEZELLES,5
51019,5,3220,104857.419444444,160502.409444444,50.7367,3.73852,FLOBECQ,5
51065,5,11451,95259.5710096154,152466.54,50.6791260634615,3.59098534038462,FRASNES,5
52010,5,14672,144038.602962963,128437.425555556,50.4650692666667,4.2842834037037,CHAPELLE-LEZ-HERLAIMONT,5
52011,5,210678,154684.327237927,123108.904358068,50.4186106936396,4.43134539469965,CHARLEROI,5
52012,5,37364,160654.673695652,121596.892934783,50.4097573391304,4.52296956304348,CHATELET,5
52015,5,30841,148869.023454545,128162.044,50.4658047945455,4.35681621636364,COURCELLES,5
52018,5,11714,162449.172631579,124876.758421053,50.4302078210526,4.54096804210526,FARCIENNES,5
52021,5,23499,162405.715636364,129719.907090909,50.4860934054545,4.55116650181818,FLEURUS,5
52022,5,17820,146847.301860465,122607.050465116,50.415322,4.32742430232558,FONTAINE-L'EVEQUE,5
52025,5,13099,160906.554615385,115647.275128205,50.3490001435897,4.52226588205128,GERPINNES,5
52043,5,23091,140401.470789474,131137.298684211,50.4953073526316,4.23358305,MANAGE,5
52048,5,10645,150325.252857143,118409.293809524,50.380403,4.36830114285714,MONTIGNY-LE-TILLEUL,5
